ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time (ms)
-0.0281,-0.0186,9.9677,-0.0075,-0.0011,-0.0024,745
-0.0281,-0.0186,9.9677,-0.0075,-0.0011,-0.0024,755
-0.0281,-0.0186,9.9677,-0.0075,-0.0011,-0.0024,764
-0.0281,-0.0186,9.9677,-0.0075,-0.0011,-0.0024,774
-0.0281,-0.0186,9.9677,-0.0075,-0.0011,-0.0024,785
-0.0281,-0.0186,9.9677,-0.0075,-0.0011,-0.0024,796
-0.0281,-0.0186,9.9677,-0.0075,-0.0011,-0.0024,804
-0.0281,-0.0186,9.9677,-0.0075,-0.0011,-0.0024,815
-0.0281,-0.0186,9.9677,-0.0075,-0.0011,-0.0024,824
-0.0281,-0.0186,9.9677,-0.0075,-0.0011,-0.0024,834
-0.0281,-0.0186,9.9677,-0.0075,-0.0011,-0.0024,845
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,854
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,864
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,875
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,884
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,894
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,904
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,914
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,924
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,934
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,949
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,954
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,964
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,974
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,984
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,995
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,1005
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,1015
-0.0227,-0.0096,9.9108,-0.0056,-0.0029,-0.0027,1024
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1034
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1045
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1055
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1065
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1075
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1084
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1095
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1105
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1114
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1125
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1136
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1145
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1154
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1164
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1175
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1185
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1194
-0.0371,-0.012,9.915,-0.0085,8.00E-04,-0.0019,1204
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1214
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1224
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1234
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1245
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1255
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1264
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1274
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1285
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1296
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1304
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1315
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1325
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1335
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1344
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1355
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1370
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1375
-0.015,-0.0144,9.9048,-0.0093,0.0024,-0.0024,1384
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1397
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1405
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1418
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1429
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1434
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1453
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1455
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1465
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1474
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1485
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1495
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1505
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1515
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1524
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1534
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1545
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1555
-0.0227,-0.0215,9.9437,-0.0099,-0.0019,-0.0021,1564
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1574
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1585
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1594
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1605
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1614
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1624
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1635
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1645
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1655
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1665
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1676
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1685
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1694
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1704
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1714
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1725
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1735
-0.0377,-0.0012,9.8988,-0.0083,-0.0013,-0.0029,1745
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1755
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1765
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1774
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1785
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1795
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1805
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1816
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1830
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1835
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1845
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1854
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1864
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1874
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1888
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1895
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1907
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1915
-0.0084,-0.0275,9.9228,-0.0088,-0.0037,-0.0021,1925
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,1936
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,1944
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,1955
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,1964
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,1975
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,1984
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,1997
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,2005
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,2014
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,2025
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,2034
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,2046
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,2054
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,2064
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,2074
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,2084
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,2095
-0.0168,0.0102,9.9533,-0.0093,-0.0019,-0.0024,2104
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2114
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2125
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2135
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2144
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2154
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2164
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2175
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2184
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2194
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2204
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2214
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2224
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2234
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2244
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2255
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2264
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2274
-0.0245,-0.0622,9.9509,-0.0067,-0.004,-0.0011,2284
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2294
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2304
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2314
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2324
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2334
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2345
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2355
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2364
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2376
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2384
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2395
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2405
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2415
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2424
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2434
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2445
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2455
-0.0066,0.015,9.9778,-0.0083,-0.0056,-0.0029,2464
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2474
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2484
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2495
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2504
-0.0407,-0.0096,9.9503,-0.0083,-0.008,-0.0027,2514
