ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time (ms)
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,0
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,10
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,20
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,30
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,40
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,50
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,60
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,70
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,80
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,90
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,100
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,110
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,120
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,130
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,140
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,150
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,160
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,170
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,180
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,190
0.195465088,3.026702881,9.876907349,0.03477478,0.048141479,0.022140503,200
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,212
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,222
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,232
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,242
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,252
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,262
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,272
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,282
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,292
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,302
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,312
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,322
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,332
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,342
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,352
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,362
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,372
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,382
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,392
0.169281006,3.038604736,9.891189575,0.03477478,0.048141479,0.022140503,402
0.05859375,3.067169189,9.745986938,0.03477478,0.048141479,0.022140503,413
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,423
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,433
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,443
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,453
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,463
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,473
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,483
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,493
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,503
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,513
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,523
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,533
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,543
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,553
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,563
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,573
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,583
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,593
0.05859375,3.067169189,9.745986938,-0.001541138,0.002212524,-0.056900024,603
0.064544678,3.063598633,9.743606567,-0.001541138,0.002212524,-0.056900024,615
0.064544678,3.063598633,9.743606567,-0.001541138,0.011825562,-0.005630493,625
0.064544678,3.063598633,9.743606567,-0.001541138,0.011825562,-0.005630493,635
0.064544678,3.063598633,9.743606567,-0.001541138,0.011825562,-0.005630493,645
0.064544678,3.063598633,9.743606567,-0.001541138,0.011825562,-0.005630493,655
0.064544678,3.063598633,9.743606567,-0.001541138,0.011825562,-0.005630493,665
0.064544678,3.063598633,9.743606567,-0.001541138,0.011825562,-0.005630493,675
0.064544678,3.063598633,9.743606567,-0.001541138,0.011825562,-0.005630493,685
